model_id,family,role,description,outcome,focal,coefficient,std_error,t_statistic,p_value,ci_95_low,ci_95_high,standardized_outcome_effect,n,firms,years,r_squared_within,control_count,controls,dropped_controls,effect_spec,covariance,sample_note,status,fdr_within_family
OP_INTERNAL_COMPONENTS_SalesGrowth_w_t1,operating_internal_components,exploratory,运营数字化与BMI数字化分解,SalesGrowth_w_t1,BMI_component_z,-0.00011543898480911399,0.010229718094682757,-0.011284669209908857,0.9909964863744081,-0.020167028119661066,0.019936150150042835,-0.0002997927835171501,16535,2324,9,0.060087833200807905,10,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences,,firm_year,firm,full eligible sample,ok,0.990996486374408
OP_POSITIVE_CUBIC_SalesGrowth_w_t1,operating_nonlinearity,exploratory,仅正值样本的三次多项式,SalesGrowth_w_t1,Digital_positive_intensity_z,-0.008041389134167359,0.01773051104835082,-0.453533973850986,0.6501803973306044,-0.04279943986798288,0.02671666159964816,-0.019444963463943827,7781,1653,9,0.05250128577378177,10,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences,,firm_year,firm,positive substantive-disclosure firm-years,ok,0.9752705959959066
OP_POSITIVE_CUBIC_SalesGrowth_w_t1,operating_nonlinearity,exploratory,仅正值样本的三次多项式,SalesGrowth_w_t1,Digital_positive_sq,-0.010083165308676667,0.009745128265540505,-1.034687798243917,0.30085569910967624,-0.029187051357844003,0.009020720740490666,-0.024382202845407416,7781,1653,9,0.05250128577378177,10,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences,,firm_year,firm,positive substantive-disclosure firm-years,ok,0.6769253229967716
OP_POSITIVE_CUBIC_SalesGrowth_w_t1,operating_nonlinearity,exploratory,仅正值样本的三次多项式,SalesGrowth_w_t1,Digital_positive_cube,0.00804234556476213,0.007751080751429795,1.037577316334707,0.29950795598171887,-0.007152504559152192,0.02323719568867645,0.019447276218327533,7781,1653,9,0.05250128577378177,10,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences,,firm_year,firm,positive substantive-disclosure firm-years,ok,0.6769253229967716
OP_CORE_ROA_AvgAssets_w_t1,operating_optimized,confirmatory,冻结核心控制复核,ROA_AvgAssets_w_t1,Digital_z,-0.0037094133534208307,0.0026547771150518228,-1.3972598047457634,0.16235734689220305,-0.008913125592566594,0.0014942988857249333,-0.0306053854177671,16521,2340,9,0.03916905419659844,10,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences,,firm_year,firm,full eligible sample,ok,0.8790448380189837
OP_PARSIMONIOUS_ROA_AvgAssets_w_t1,operating_optimized,robustness,结果变量专属精简控制,ROA_AvgAssets_w_t1,Digital_z,-0.002639419679920359,0.002671869509603781,-0.9878550095478899,0.32324002374378535,-0.007876621624653123,0.002597782264812406,-0.021339433256731006,17001,2378,9,0.02225430652708371,7,FirmSize_w; Leverage_w; ROA_AvgAssets_w; Liquidity_w; FirmAgeLog_w; LossDummy; LogTotalSentences,,firm_year,firm,full eligible sample,ok,0.8790448380189837
OP_INDUSTRY_YEAR_ROA_AvgAssets_w_t1,operating_optimized,robustness,公司与行业×年份固定效应,ROA_AvgAssets_w_t1,Digital_z,-0.0038948171846397437,0.0026962487381960126,-1.4445318525195345,0.14861232267179747,-0.009179835069750297,0.0013902007004708093,-0.03213510323882163,16521,2340,9,0.03943214103158743,10,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences,,firm_industry_year,firm,full eligible sample,ok,0.8790448380189837
OP_DK_ROA_AvgAssets_w_t1,operating_optimized,robustness,Driscoll-Kraay标准误,ROA_AvgAssets_w_t1,Digital_z,-0.0037094133534208307,0.0019431055563681305,-1.9090127869090736,0.056280630890295225,-0.007518155755295724,9.932904845406237e-05,-0.0306053854177671,16521,2340,9,0.03916905419659844,10,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences,,firm_year,driscoll_kraay,full eligible sample,ok,0.8790448380189837
OP_EMPIRICAL_LOGIT_ROA_AvgAssets_w_t1,operating_optimized,robustness,平滑句子发生率，处理零值与篇幅,ROA_AvgAssets_w_t1,Digital_empirical_logit_z,-0.0012925808984951418,0.0020399155807750723,-0.6336443089493055,0.5263232095787274,-0.005291083678377727,0.002705921881387443,-0.01066474205297321,16521,2340,9,0.03876312676373461,10,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences,,firm_year,firm,full eligible sample,ok,0.8790448380189837
OP_CHANGE_ROA_AvgAssets_w_t1,operating_optimized,exploratory,数字战略相对上年的变化量,ROA_AvgAssets_w_t1,Digital_change_z,-0.0005541826734794258,0.000967034058654089,-0.5730746177138096,0.5666032704812891,-0.00244969658994275,0.0013413312429838985,-0.004572414206156063,16521,2340,9,0.03862763034406391,10,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences,,firm_year,firm,full eligible sample,ok,0.8790448380189837
