"model_id","family","role","description","outcome","focal","coefficient","std_error","t_statistic","p_value","ci_95_low","ci_95_high","standardized_outcome_effect","n","firms","years","r_squared_within","control_count","controls","dropped_controls","effect_spec","covariance","sample_note","status","left_out_year","fdr_within_family"
"CAR_SAMPLE_KOSPI","car_optimized","robustness","KOSPI子样本","AlignedCAR_0_p2_w","Digital_z","-0.003963798837011693","0.002348299097476014","-1.6879446239501779","0.09148417490620098","-0.008567494027601576","0.0006398963535781902","-0.07686228460528373","6448","737","10.0","-0.0005207427864646341","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","KOSPI only","ok","","0.1467106744538113"
"CAR_SAMPLE_KOSDAQ","car_optimized","robustness","KOSDAQ子样本","AlignedCAR_0_p2_w","Digital_z","-0.0028263500041692366","0.0017993845499913756","-1.5707315060489895","0.11627808723027866","-0.006353525014603664","0.000700825006265191","-0.04947307531299996","12175","1622","10.0","0.008590460512426068","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","KOSDAQ only","ok","","0.1705411946044087"
"CAR_PLACEBO_LEAD_LEVEL","car_optimized","diagnostic","未来一年数字战略预测当期CAR","AlignedCAR_0_p2_w","Digital_lead1_z","-0.004601682355671835","0.0015761899934076736","-2.9194972528173087","0.003511985134980966","-0.007691245783793743","-0.0015121189275499269","-0.08402906796151903","16435","2315","9.0","0.0054155790553249705","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","exact corrected-text filing date","ok","","0.1290305831263625"
"CAR_PLACEBO_LEAD_CHANGE","car_optimized","diagnostic","未来一年数字战略变化预测当期CAR","AlignedCAR_0_p2_w","Digital_change_lead1_z","-0.00040077382614336546","0.0006088670252198177","-0.6582288242636808","0.5104027680504104","-0.0015942424445055316","0.0007926947922188008","-0.007318334572287564","16435","2315","9.0","0.003843179985379641","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","exact corrected-text filing date","ok","","0.5614430448554515"
"CAR_LEAVE_YEAR_2015","car_optimized","robustness","剔除2015年","AlignedCAR_0_p2_w","Digital_z","-0.002691547653814213","0.0014490749077920055","-1.8574247882846835","0.06327026287261583","-0.0055319107291005604","0.00014881542147213416","-0.04867276854715795","18623","2359","10.0","0.005150520554066507","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","leave out fiscal year 2015","ok","2015.0","0.1290305831263625"
"CAR_LEAVE_YEAR_2016","car_optimized","robustness","剔除2016年","AlignedCAR_0_p2_w","Digital_z","-0.0023775735236648272","0.0016712292834821045","-1.4226495114488498","0.1548607530008983","-0.005653414699487369","0.0008982676521577145","-0.04246263535502881","17039","2344","9.0","0.003536935960100629","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","leave out fiscal year 2016","ok","2016.0","0.21293353537623516"
"CAR_LEAVE_YEAR_2017","car_optimized","robustness","剔除2017年","AlignedCAR_0_p2_w","Digital_z","-0.0025794829181610586","0.0015912541153448034","-1.6210377043405912","0.10503288952099887","-0.005698563113335078","0.00053959727701296","-0.046551416210947605","16992","2358","9.0","0.005111591744857202","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","leave out fiscal year 2017","ok","2017.0","0.1593602461697914"
"CAR_LEAVE_YEAR_2018","car_optimized","robustness","剔除2018年","AlignedCAR_0_p2_w","Digital_z","-0.003211822183282542","0.0016042029783728783","-2.002129547559032","0.0452908600476114","-0.0063562854671055866","-6.735889945949777e-05","-0.056950646608042055","16917","2359","9.0","0.005094377298792696","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","leave out fiscal year 2018","ok","2018.0","0.1290305831263625"
"CAR_LEAVE_YEAR_2019","car_optimized","robustness","剔除2019年","AlignedCAR_0_p2_w","Digital_z","-0.0022929017952015083","0.001362966974570828","-1.6822871265266708","0.09253656768411744","-0.004964510250317342","0.0003787066599143245","-0.0449409963031079","16842","2359","9.0","0.0061620302862116505","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","leave out fiscal year 2019","ok","2019.0","0.1467106744538113"
"CAR_LEAVE_YEAR_2020","car_optimized","robustness","剔除2020年","AlignedCAR_0_p2_w","Digital_z","-0.0026240789814677193","0.001548078761736668","-1.6950552170381636","0.09008834614224459","-0.005658533645635885","0.00041037568270044667","-0.04716175280918208","16796","2359","9.0","0.003988875600783315","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","leave out fiscal year 2020","ok","2020.0","0.1467106744538113"
