Rank,Experiment,Model,FeatureSet,Parameters,CVMean,CVStd,CVMin,CVMax,OOFAccuracy,Precision,Recall,F1,AUC,Threshold,Notes
15,Pool_XGBoost,XGBoost,E10_Group,{},0.8316238779737619,0.03325338649435278,0.7865168539325843,0.8707865168539326,0.8316498316498316,0.8037974683544303,0.7426900584795322,0.7720364741641338,0.8916371073402998,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
16,TicketFrequency_train,GradientBoosting,E7_Interactions,{},0.8282844768062269,0.02177072440635369,0.797752808988764,0.8651685393258427,0.8282828282828283,0.8038585209003215,0.7309941520467836,0.7656967840735069,0.8791928972400644,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=False
17,WCG_3_with_boys,WCG_3_with_boys,Final,{},0.8282828282828283,,,,0.8282828282828283,0.8411552346570397,0.6812865497076024,0.752827140549273,0.8005704151088103,0.5,Fold-safe woman-child group rule
18,Ablation_E2_Family,LogisticRegression,E2_Family,{},0.827066725252652,0.04274481328074788,0.7921348314606742,0.9106145251396648,0.8271604938271605,0.7955974842767296,0.7397660818713451,0.7666666666666667,0.8604932945600189,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
19,Age_median,GradientBoosting,E7_Interactions,{},0.8248885820099179,0.020112868110016814,0.7921348314606742,0.8491620111731844,0.8249158249158249,0.8,0.7251461988304093,0.7607361963190185,0.8761091404893533,0.5,seeds=[2026]; age=median; child<16; combined_frequency=True
20,Age_pclass_sex,GradientBoosting,E7_Interactions,{},0.8248885820099179,0.021915188231581003,0.7865168539325843,0.8491620111731844,0.8249158249158249,0.7961783439490446,0.7309941520467836,0.7621951219512195,0.8776590078718349,0.5,seeds=[2026]; age=pclass_sex; child<16; combined_frequency=True
21,Age_title_pclass,GradientBoosting,E7_Interactions,{},0.824882304940054,0.026389846869563853,0.7808988764044944,0.8547486033519553,0.8249158249158249,0.7980769230769231,0.7280701754385965,0.7614678899082569,0.8760771844608486,0.5,seeds=[2026]; age=title_pclass; child<16; combined_frequency=True
22,Age_smart,GradientBoosting,E7_Interactions,{},0.824882304940054,0.02516546591634622,0.7808988764044944,0.8547486033519553,0.8249158249158249,0.8,0.7251461988304093,0.7607361963190185,0.876535220869417,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
23,ChildAge_16,GradientBoosting,E7_Interactions,{},0.824882304940054,0.02516546591634622,0.7808988764044944,0.8547486033519553,0.8249158249158249,0.8,0.7251461988304093,0.7607361963190185,0.876535220869417,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
24,TicketFrequency_combined,GradientBoosting,E7_Interactions,{},0.824882304940054,0.02516546591634622,0.7808988764044944,0.8547486033519553,0.8249158249158249,0.8,0.7251461988304093,0.7607361963190185,0.876535220869417,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
25,ChildAge_14,GradientBoosting,E7_Interactions,{},0.8237649865042999,0.02442955755416948,0.7808988764044944,0.8491620111731844,0.8237934904601572,0.7955271565495208,0.7280701754385965,0.7603053435114504,0.8767535870641996,0.5,seeds=[2026]; age=smart; child<14; combined_frequency=True
26,Ablation_E9_TicketSurvival,LogisticRegression,E9_TicketSurvival,{},0.822666499278137,0.014526967875199047,0.797752808988764,0.8426966292134831,0.8226711560044894,0.7929936305732485,0.7280701754385965,0.7591463414634146,0.8847878652307758,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
27,Ablation_E10_Group,LogisticRegression,E10_Group,{},0.822666499278137,0.014526967875199047,0.797752808988764,0.8426966292134831,0.8226711560044894,0.7929936305732485,0.7280701754385965,0.7591463414634146,0.8847878652307758,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
28,Pool_LogisticRegression,LogisticRegression,E10_Group,{},0.822666499278137,0.014526967875199047,0.797752808988764,0.8426966292134831,0.8226711560044894,0.7929936305732485,0.7280701754385965,0.7591463414634146,0.8847878652307758,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
29,B2_RandomForest,RandomForest,E0_Basic,{},0.8215177954930638,0.019825371693399395,0.7921348314606742,0.8491620111731844,0.8215488215488216,0.8279569892473119,0.6754385964912281,0.7439613526570048,0.8608954079187039,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
30,Ablation_E1_Title,LogisticRegression,E1_Title,{},0.821455024794426,0.04319770939035412,0.7808988764044944,0.9050279329608939,0.8215488215488216,0.7815384615384615,0.7426900584795322,0.7616191904047976,0.8631935789686724,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
31,Pool_ExtraTrees,ExtraTrees,E10_Group,{},0.8204004770573097,0.018678566585492284,0.7865168539325843,0.8435754189944135,0.8204264870931538,0.7916666666666666,0.7222222222222222,0.7553516819571865,0.886675933914933,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
32,ChildAge_18,GradientBoosting,E7_Interactions,{},0.8203941999874458,0.02531540486173915,0.7752808988764045,0.8491620111731844,0.8204264870931538,0.7898089171974523,0.7251461988304093,0.7560975609756098,0.8758455032541888,0.5,seeds=[2026]; age=smart; child<18; combined_frequency=True
