number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
36,0.8424913286745003,2026-09-11 01:00:49.852838,2026-09-11 01:00:58.396877,0 days 00:00:08.544039,4,625,4.496019881793226,0.03656264325991043,COMPLETE
37,0.8392060529311329,2026-09-11 01:00:58.396959,2026-09-11 01:01:05.945869,0 days 00:00:07.548910,5,438,11.714836226809402,0.04563721413444771,COMPLETE
38,0.833539078701723,2026-09-11 01:01:05.945941,2026-09-11 01:01:11.494905,0 days 00:00:05.548964,4,401,2.219793483071168,0.022951711178820902,COMPLETE
39,0.8330858687702487,2026-09-11 01:01:11.494973,2026-09-11 01:01:16.576631,0 days 00:00:05.081658,5,287,2.527637246112241,0.019416867908388296,COMPLETE
40,0.8383690438222436,2026-09-11 01:01:16.576706,2026-09-11 01:01:31.152357,0 days 00:00:14.575651,7,498,4.819856878420657,0.015671221579511764,COMPLETE
41,0.8512648180367759,2026-09-11 01:01:31.152473,2026-09-11 01:01:39.493479,0 days 00:00:08.341006,4,603,3.4999806116108285,0.03604132623848131,COMPLETE
42,0.8475613572012873,2026-09-11 01:01:39.493564,2026-09-11 01:01:48.459911,0 days 00:00:08.966347,4,649,3.5092891820690237,0.0314311680439405,COMPLETE
43,0.8393709738434294,2026-09-11 01:01:48.459977,2026-09-11 01:01:57.074133,0 days 00:00:08.614156,4,617,4.155069864894482,0.05543742296863427,COMPLETE
44,0.8495172346612334,2026-09-11 01:01:57.074231,2026-09-11 01:02:05.226775,0 days 00:00:08.152544,4,594,4.11430714387196,0.03775532791010924,COMPLETE
45,0.8504903143184116,2026-09-11 01:02:05.226857,2026-09-11 01:02:12.943347,0 days 00:00:07.716490,4,571,3.076015278761427,0.03447745707392744,COMPLETE
46,0.8465617711332487,2026-09-11 01:02:12.943428,2026-09-11 01:02:22.826583,0 days 00:00:09.883155,5,573,3.0112995075676534,0.028979919663180247,COMPLETE
47,0.8496575839678036,2026-09-11 01:02:22.826672,2026-09-11 01:02:33.016612,0 days 00:00:10.189940,5,593,2.7643418946139873,0.03435037366407076,COMPLETE
48,0.8456245099361098,2026-09-11 01:02:33.016677,2026-09-11 01:02:40.867964,0 days 00:00:07.851287,4,565,2.229074465628624,0.04549992726832498,COMPLETE
49,0.8464008391882198,2026-09-11 01:02:40.868034,2026-09-11 01:02:54.322476,0 days 00:00:13.454442,6,635,5.14750046992562,0.038627927763205054,COMPLETE
