Model1,Model2,Model3,W1,W2,W3,Threshold,OOFAccuracy
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.8500000000000001,0.05,0.1,0.5100000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.8,0.15000000000000002,0.05,0.5050000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.6000000000000001,0.30000000000000004,0.1,0.5000000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.6000000000000001,0.25,0.15,0.4950000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.55,0.05,0.4,0.4850000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.55,0.1,0.35,0.5000000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.55,0.0,0.45,0.4650000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.55,0.45,-0.0,0.5000000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.6000000000000001,0.35000000000000003,0.05,0.4950000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.6000000000000001,0.1,0.3,0.5000000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.5,0.45,0.05,0.5000000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.5,0.2,0.3,0.5050000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.15000000000000002,0.1,0.75,0.5200000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.45,0.45,0.1,0.5000000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.25,0.4,0.35,0.6000000000000002,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.2,0.05,0.75,0.5450000000000002,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.25,0.2,0.55,0.5100000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.25,0.15000000000000002,0.6,0.5050000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.25,0.05,0.7,0.5400000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.25,0.35000000000000003,0.4,0.6050000000000002,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.25,0.25,0.5,0.5100000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.05,0.15000000000000002,0.8,0.5400000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.05,0.2,0.75,0.5300000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.05,0.25,0.7,0.5150000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.0,0.2,0.8,0.5400000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.05,0.35000000000000003,0.6,0.5300000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.15000000000000002,0.4,0.45,0.6000000000000002,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.15000000000000002,0.45,0.4,0.5550000000000002,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.1,0.1,0.8,0.5400000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.1,0.15000000000000002,0.75,0.5250000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.1,0.0,0.9,0.5400000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.1,0.05,0.85,0.5400000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.1,0.55,0.35,0.5600000000000002,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.0,0.55,0.45,0.5600000000000002,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.0,0.4,0.6,0.5300000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.0,0.35000000000000003,0.65,0.5300000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.05,0.1,0.85,0.5450000000000002,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.05,0.55,0.4,0.5600000000000002,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.15000000000000002,0.25,0.6,0.5150000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.15000000000000002,0.2,0.65,0.5000000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.15000000000000002,0.35000000000000003,0.5,0.5250000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.15000000000000002,0.5,0.35,0.5800000000000002,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.0,0.25,0.75,0.5350000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.0,0.30000000000000004,0.7,0.5300000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.30000000000000004,0.45,0.25,0.5850000000000002,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.30000000000000004,0.5,0.2,0.6200000000000002,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.30000000000000004,0.65,0.05,0.4850000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.35000000000000003,0.5,0.15,0.6150000000000002,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.4,0.25,0.35,0.5250000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.4,0.5,0.1,0.6150000000000002,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.4,0.45,0.15,0.6150000000000002,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.4,0.2,0.4,0.5200000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.5,0.05,0.45,0.4850000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.5,0.0,0.5,0.4650000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.35000000000000003,0.0,0.65,0.5150000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.35000000000000003,0.15000000000000002,0.5,0.5050000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.35000000000000003,0.2,0.45,0.5150000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.35000000000000003,0.30000000000000004,0.35,0.5250000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.35000000000000003,0.25,0.4,0.5200000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.35000000000000003,0.35000000000000003,0.3,0.5300000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.25,0.65,0.1,0.4950000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.30000000000000004,0.0,0.7,0.5150000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.30000000000000004,0.05,0.65,0.5200000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.30000000000000004,0.6000000000000001,0.1,0.4800000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.30000000000000004,0.7000000000000001,-0.0,0.4850000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.30000000000000004,0.35000000000000003,0.35,0.5300000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.5,0.1,0.4,0.4850000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.5,0.4,0.1,0.5000000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.7000000000000001,0.25,0.05,0.5150000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.7000000000000001,0.30000000000000004,-0.0,0.5000000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.5,0.15000000000000002,0.35,0.4950000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.4,0.15000000000000002,0.45,0.5150000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.45,0.5,0.05,0.4950000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.45,0.35000000000000003,0.2,0.5250000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.45,0.2,0.35,0.5050000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.45,0.25,0.3,0.5100000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.65,0.30000000000000004,0.05,0.5000000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.75,0.25,0.0,0.5000000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.65,0.25,0.1,0.5000000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.1,0.2,0.7,0.5350000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.15000000000000002,0.30000000000000004,0.55,0.5200000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.2,0.30000000000000004,0.5,0.5150000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.2,0.35000000000000003,0.45,0.5350000000000001,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.2,0.5,0.3,0.5900000000000002,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.15000000000000002,0.55,0.3,0.5900000000000002,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.2,0.45,0.35,0.5850000000000002,0.8574635241301908
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.2,0.6000000000000001,0.2,0.6250000000000002,0.8574635241301908
