RuleId,Base,Keys,Reference,Support,LowCut,HighCut,LowTarget,MaleHigh,OOFAccuracy,FoldMean,FoldStd,PositivePredictions
R0195,female_master,FamilyID,female_master,1,0.0,1.0,female_master,none,0.8428731762065096,0.8408486598455841,0.024069930539051602,160
R0196,female_master,FamilyID,female_master,1,0.0,1.0,female_master,master,0.8428731762065096,0.8408486598455841,0.024069930539051602,160
R0197,female_master,FamilyID,female_master,1,0.0,1.0,female_master,young,0.8428731762065096,0.8408486598455841,0.024069930539051602,160
R0219,female_master,FamilyID,female_child16,1,0.0,1.0,female_master,none,0.8428731762065096,0.8408486598455841,0.024069930539051602,160
R0220,female_master,FamilyID,female_child16,1,0.0,1.0,female_master,master,0.8428731762065096,0.8408486598455841,0.024069930539051602,160
R0221,female_master,FamilyID,female_child16,1,0.0,1.0,female_master,young,0.8428731762065096,0.8408486598455841,0.024069930539051602,160
R0532,female_child12,UnionGroup,female_master,1,0.0,1.0,female_master,master,0.8428731762065096,0.840397966229364,0.02382677871399016,155
R0556,female_child12,UnionGroup,female_child16,1,0.0,1.0,female_master,master,0.8428731762065096,0.840397966229364,0.02382677871399016,155
R0388,female_child12,FamilyID,female_master,1,0.0,1.0,female_master,master,0.8417508417508418,0.8388274433494445,0.024366824448232495,156
R0412,female_child12,FamilyID,female_child16,1,0.0,1.0,female_master,master,0.8417508417508418,0.8388274433494445,0.024366824448232495,156
R0533,female_child12,UnionGroup,female_master,1,0.0,1.0,female_master,young,0.8406285072951739,0.838601468834348,0.02436183802315906,155
R0557,female_child12,UnionGroup,female_child16,1,0.0,1.0,female_master,young,0.8406285072951739,0.838601468834348,0.02436183802315906,155
R0097,gender,FamilyID+TicketNormalized,female_master,1,0.0,1.0,female,master,0.8406285072951739,0.835909861276756,0.022364301033025537,151
R0100,gender,FamilyID+TicketNormalized,female_master,1,0.0,1.0,female_master,master,0.8406285072951739,0.835909861276756,0.022364301033025537,151
R0103,gender,FamilyID+TicketNormalized,female_master,1,0.25,1.0,female,master,0.8406285072951739,0.835909861276756,0.022364301033025537,150
R0106,gender,FamilyID+TicketNormalized,female_master,1,0.25,1.0,female_master,master,0.8406285072951739,0.835909861276756,0.022364301033025537,150
R0121,gender,FamilyID+TicketNormalized,female_child16,1,0.0,1.0,female,master,0.8406285072951739,0.835909861276756,0.022364301033025537,151
R0124,gender,FamilyID+TicketNormalized,female_child16,1,0.0,1.0,female_master,master,0.8406285072951739,0.835909861276756,0.022364301033025537,151
R0127,gender,FamilyID+TicketNormalized,female_child16,1,0.25,1.0,female,master,0.8406285072951739,0.835909861276756,0.022364301033025537,150
R0130,gender,FamilyID+TicketNormalized,female_child16,1,0.25,1.0,female_master,master,0.8406285072951739,0.835909861276756,0.022364301033025537,150
R0151,gender,UnionGroup,female_master,1,0.25,1.0,female,master,0.8406285072951739,0.8350109848722616,0.022747576913352822,150
R0154,gender,UnionGroup,female_master,1,0.25,1.0,female_master,master,0.8406285072951739,0.8350109848722616,0.022747576913352822,150
R0175,gender,UnionGroup,female_child16,1,0.25,1.0,female,master,0.8406285072951739,0.8350109848722616,0.022747576913352822,150
R0178,gender,UnionGroup,female_child16,1,0.25,1.0,female_master,master,0.8406285072951739,0.8350109848722616,0.022747576913352822,150
R0531,female_child12,UnionGroup,female_master,1,0.0,1.0,female_master,none,0.8395061728395061,0.8379273115309773,0.024264903999419784,153
R0555,female_child12,UnionGroup,female_child16,1,0.0,1.0,female_master,none,0.8395061728395061,0.8379273115309773,0.024264903999419784,153
R0389,female_child12,FamilyID,female_master,1,0.0,1.0,female_master,young,0.8395061728395061,0.8370309459544285,0.024776662833137713,155
R0413,female_child12,FamilyID,female_child16,1,0.0,1.0,female_master,young,0.8395061728395061,0.8370309459544285,0.024776662833137713,155
R0007,gender,FamilyID,female_master,1,0.25,1.0,female,master,0.8395061728395061,0.8329910237900948,0.022647336258253402,151
